epoch,train_loss,val_loss,val_tn,val_fn,val_tp,val_fp,val_accuracy,val_auc,pauc,f1score
1,0.4468004148950021,0.29104048990676024,72300,28,53,7833,0.9019996509337522,0.8462198570185708,0.09383138187084955,0.013304882640893688
2,0.27190018772399627,0.23197809333730768,74002,32,49,6131,0.9231680255317027,0.8548899337567344,0.10122034771513343,0.01565245168503434
3,0.2367345859758952,0.19476377474336418,75104,35,46,5029,0.9368688757573491,0.8606813086823402,0.10661026044201515,0.017843289371605897
4,0.2209895565215943,0.18090566321024112,75466,36,45,4667,0.9413693370234623,0.8629152490774212,0.10775071012343211,0.01877738368453995
5,0.2071976261519094,0.17697835781745927,75519,36,45,4614,0.9420300695639166,0.8669113832820837,0.11028748039717301,0.018987341772151903
6,0.2020772378630204,0.16744306235710424,75756,35,46,4377,0.9449971326701074,0.8699946832218597,0.11242260359436386,0.02042628774422735
7,0.19426885316636378,0.15405074233380983,76165,38,43,3968,0.9500585932630214,0.8732708723598868,0.11547613820418612,0.021016617790811338
8,0.1905175146598079,0.15742533247868012,76018,37,44,4115,0.9482384621138454,0.8763449284083729,0.11712694312372346,0.020754716981132078
9,0.18393764031442217,0.16431506096664325,75793,37,44,4340,0.9454334654798414,0.8772339596531876,0.1176443699386806,0.019708846584546472
10,0.18313080610192792,0.1425845842236971,76463,38,43,3670,0.9537736554716134,0.8787757636879305,0.11893517151192926,0.022667369530838165
11,0.1774325725681346,0.1462097294026919,76323,37,44,3810,0.9520407908843843,0.8824879563651356,0.12140840543953699,0.022363405336721726
12,0.17843760065939193,0.14255987320457641,76411,37,44,3722,0.9531378562345725,0.8825648347276973,0.12140005512440502,0.02287496750714843
13,0.17308268115736275,0.15020572683094094,76149,38,43,3984,0.9498591268357145,0.8866065721293903,0.12461320092383447,0.020934761441090556
14,0.17311382305128173,0.13958634484838786,76481,38,43,3652,0.9539980552023337,0.8872018787284658,0.12496483854850568,0.02277542372881356
15,0.17141732980029178,0.13505199023788758,76587,39,42,3546,0.9553070536315357,0.8873352988927512,0.12490518463671428,0.022894521668029435
16,0.16686400440461216,0.1318653722046813,76705,38,43,3428,0.9567905851846311,0.8880786618173213,0.12498150836579862,0.02421171171171171
17,0.16815220968434028,0.12880185138053626,76799,38,43,3334,0.9579624504450595,0.8908111560826423,0.1263714814861034,0.024869866975130137
18,0.16508411971721607,0.13988048872890074,76441,37,44,3692,0.953511855785773,0.8905447779486357,0.1259931598285751,0.023054755043227668
19,0.16227732335397999,0.12435060161482789,76930,39,42,3203,0.9595831151669285,0.8913603972901224,0.12653368096527173,0.025255562236921224
20,0.16382030980659182,0.1364354377610939,76524,37,44,3609,0.9545465878774279,0.89220759992685,0.12719505057409955,0.02356722013926085
